Timestamp: 2024-07-27 04:54:37, Total: 503.71 GB, Available: 424.12 GB, Used: 76.04 GB, Percent: 15.8%
Timestamp: 2024-07-27 04:54:47, Total: 503.71 GB, Available: 424.11 GB, Used: 76.04 GB, Percent: 15.8%
Timestamp: 2024-07-27 04:54:57, Total: 503.71 GB, Available: 424.14 GB, Used: 76.02 GB, Percent: 15.8%
Timestamp: 2024-07-27 04:55:07, Total: 503.71 GB, Available: 424.13 GB, Used: 76.03 GB, Percent: 15.8%
Timestamp: 2024-07-27 04:55:17, Total: 503.71 GB, Available: 421.93 GB, Used: 78.23 GB, Percent: 16.2%
Timestamp: 2024-07-27 04:55:27, Total: 503.71 GB, Available: 423.58 GB, Used: 76.59 GB, Percent: 15.9%
Timestamp: 2024-07-27 04:55:37, Total: 503.71 GB, Available: 423.57 GB, Used: 76.59 GB, Percent: 15.9%
Timestamp: 2024-07-27 04:55:47, Total: 503.71 GB, Available: 425.43 GB, Used: 74.73 GB, Percent: 15.5%
Timestamp: 2024-07-27 04:55:57, Total: 503.71 GB, Available: 425.35 GB, Used: 74.82 GB, Percent: 15.6%
Timestamp: 2024-07-27 04:56:07, Total: 503.71 GB, Available: 424.85 GB, Used: 75.33 GB, Percent: 15.7%
Timestamp: 2024-07-27 04:56:17, Total: 503.71 GB, Available: 422.20 GB, Used: 77.98 GB, Percent: 16.2%
Timestamp: 2024-07-27 04:56:27, Total: 503.71 GB, Available: 421.61 GB, Used: 78.56 GB, Percent: 16.3%
Timestamp: 2024-07-27 04:56:37, Total: 503.71 GB, Available: 421.63 GB, Used: 78.54 GB, Percent: 16.3%
Timestamp: 2024-07-27 04:56:47, Total: 503.71 GB, Available: 421.64 GB, Used: 78.53 GB, Percent: 16.3%
Timestamp: 2024-07-27 04:56:57, Total: 503.71 GB, Available: 421.42 GB, Used: 78.76 GB, Percent: 16.3%
Timestamp: 2024-07-27 04:57:07, Total: 503.71 GB, Available: 420.41 GB, Used: 79.77 GB, Percent: 16.5%
Timestamp: 2024-07-27 04:57:17, Total: 503.71 GB, Available: 419.30 GB, Used: 80.88 GB, Percent: 16.8%
Timestamp: 2024-07-27 04:57:27, Total: 503.71 GB, Available: 419.69 GB, Used: 80.49 GB, Percent: 16.7%
Timestamp: 2024-07-27 04:57:37, Total: 503.71 GB, Available: 419.69 GB, Used: 80.49 GB, Percent: 16.7%
Timestamp: 2024-07-27 04:57:47, Total: 503.71 GB, Available: 419.70 GB, Used: 80.47 GB, Percent: 16.7%
Timestamp: 2024-07-27 04:57:57, Total: 503.71 GB, Available: 419.44 GB, Used: 80.73 GB, Percent: 16.7%
Timestamp: 2024-07-27 04:58:07, Total: 503.71 GB, Available: 419.48 GB, Used: 80.70 GB, Percent: 16.7%
Timestamp: 2024-07-27 04:58:17, Total: 503.71 GB, Available: 417.62 GB, Used: 82.55 GB, Percent: 17.1%
Timestamp: 2024-07-27 04:58:27, Total: 503.71 GB, Available: 417.30 GB, Used: 82.88 GB, Percent: 17.2%
Timestamp: 2024-07-27 04:58:38, Total: 503.71 GB, Available: 417.30 GB, Used: 82.87 GB, Percent: 17.2%
Timestamp: 2024-07-27 04:58:48, Total: 503.71 GB, Available: 417.36 GB, Used: 82.82 GB, Percent: 17.1%
Timestamp: 2024-07-27 04:58:58, Total: 503.71 GB, Available: 416.79 GB, Used: 83.39 GB, Percent: 17.3%
Timestamp: 2024-07-27 04:59:08, Total: 503.71 GB, Available: 416.25 GB, Used: 83.93 GB, Percent: 17.4%
Timestamp: 2024-07-27 04:59:18, Total: 503.71 GB, Available: 414.59 GB, Used: 85.59 GB, Percent: 17.7%
Timestamp: 2024-07-27 04:59:28, Total: 503.71 GB, Available: 412.70 GB, Used: 87.48 GB, Percent: 18.1%
Timestamp: 2024-07-27 04:59:38, Total: 503.71 GB, Available: 413.96 GB, Used: 86.21 GB, Percent: 17.8%
Timestamp: 2024-07-27 04:59:48, Total: 503.71 GB, Available: 413.97 GB, Used: 86.21 GB, Percent: 17.8%
Timestamp: 2024-07-27 04:59:58, Total: 503.71 GB, Available: 413.50 GB, Used: 86.67 GB, Percent: 17.9%
Timestamp: 2024-07-27 05:00:08, Total: 503.71 GB, Available: 413.02 GB, Used: 87.16 GB, Percent: 18.0%
Timestamp: 2024-07-27 05:00:18, Total: 503.71 GB, Available: 408.35 GB, Used: 91.83 GB, Percent: 18.9%
Timestamp: 2024-07-27 05:00:28, Total: 503.71 GB, Available: 410.33 GB, Used: 89.85 GB, Percent: 18.5%
Timestamp: 2024-07-27 05:00:38, Total: 503.71 GB, Available: 410.24 GB, Used: 89.93 GB, Percent: 18.6%
Timestamp: 2024-07-27 05:00:48, Total: 503.71 GB, Available: 410.25 GB, Used: 89.92 GB, Percent: 18.6%
Timestamp: 2024-07-27 05:00:58, Total: 503.71 GB, Available: 409.85 GB, Used: 90.32 GB, Percent: 18.6%
Timestamp: 2024-07-27 05:01:08, Total: 503.71 GB, Available: 410.48 GB, Used: 89.70 GB, Percent: 18.5%
Timestamp: 2024-07-27 05:01:18, Total: 503.71 GB, Available: 408.01 GB, Used: 92.16 GB, Percent: 19.0%
Timestamp: 2024-07-27 05:01:28, Total: 503.71 GB, Available: 409.11 GB, Used: 91.07 GB, Percent: 18.8%
Timestamp: 2024-07-27 05:01:38, Total: 503.71 GB, Available: 409.31 GB, Used: 90.86 GB, Percent: 18.7%
Timestamp: 2024-07-27 05:01:48, Total: 503.71 GB, Available: 409.31 GB, Used: 90.86 GB, Percent: 18.7%
Timestamp: 2024-07-27 05:01:58, Total: 503.71 GB, Available: 409.00 GB, Used: 91.18 GB, Percent: 18.8%
Timestamp: 2024-07-27 05:02:08, Total: 503.71 GB, Available: 409.31 GB, Used: 90.87 GB, Percent: 18.7%
Timestamp: 2024-07-27 05:02:18, Total: 503.71 GB, Available: 408.54 GB, Used: 91.63 GB, Percent: 18.9%
Timestamp: 2024-07-27 05:02:28, Total: 503.71 GB, Available: 408.02 GB, Used: 92.15 GB, Percent: 19.0%
Timestamp: 2024-07-27 05:02:38, Total: 503.71 GB, Available: 409.07 GB, Used: 91.11 GB, Percent: 18.8%
Timestamp: 2024-07-27 05:02:48, Total: 503.71 GB, Available: 409.08 GB, Used: 91.09 GB, Percent: 18.8%
Timestamp: 2024-07-27 05:02:58, Total: 503.71 GB, Available: 408.76 GB, Used: 91.42 GB, Percent: 18.9%
Timestamp: 2024-07-27 05:03:08, Total: 503.71 GB, Available: 408.36 GB, Used: 91.82 GB, Percent: 18.9%
Timestamp: 2024-07-27 05:03:18, Total: 503.71 GB, Available: 406.80 GB, Used: 93.38 GB, Percent: 19.2%
Timestamp: 2024-07-27 05:03:28, Total: 503.71 GB, Available: 404.45 GB, Used: 95.72 GB, Percent: 19.7%
Timestamp: 2024-07-27 05:03:38, Total: 503.71 GB, Available: 406.00 GB, Used: 94.17 GB, Percent: 19.4%
Timestamp: 2024-07-27 05:03:48, Total: 503.71 GB, Available: 406.00 GB, Used: 94.17 GB, Percent: 19.4%
